,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
269,Pangnirtung,76,CA,03/24/2019,70,15.6,66.15,-65.72,30.89
270,Tashtyp,88,RU,03/24/2019,91,32.7,52.8,89.89,5.61
271,Rio Gallegos,75,AR,03/24/2019,59,60.8,-51.62,-69.22,10.29
272,Illapel,0,CL,03/24/2019,91,58.44,-31.63,-71.17,3.15
273,Kadyy,88,RU,03/24/2019,94,31.8,57.79,43.19,7.4
274,Usinsk,20,RU,03/24/2019,88,30.54,66.0,57.56,12.88
275,Baiyin,0,CN,03/24/2019,33,30.2,36.55,104.13,6.71
276,Usogorsk,88,RU,03/24/2019,85,32.7,63.43,48.71,7.74
277,Olinda,75,EC,03/24/2019,74,84.2,-2.03,-79.75,8.05
278,Gizo,75,IL,03/24/2019,76,51.8,31.8,34.94,12.75
279,Eureka,1,US,03/24/2019,66,64.0,40.8,-124.16,5.82
280,Celestun,0,MX,03/24/2019,96,77.43,20.87,-90.4,21.39
281,Baltasi,88,RU,03/24/2019,95,30.9,56.34,50.21,6.96
282,Salvador,40,BR,03/24/2019,79,84.2,-12.98,-38.48,3.36
283,Mpulungu,24,ZM,03/24/2019,94,58.71,-8.77,31.12,3.6
284,Haines Junction,0,CA,03/24/2019,51,40.08,60.75,-137.51,3.27
285,Saint-Georges,36,CA,03/24/2019,87,28.99,46.12,-70.67,1.01
286,Hammerfest,90,NO,03/24/2019,54,28.4,70.66,23.68,28.86
287,Port Keats,44,AU,03/24/2019,88,86.61,-14.25,129.55,13.89
288,Guerrero Negro,12,MX,03/24/2019,50,69.15,27.97,-114.04,13.11
289,Teterow,75,DE,03/24/2019,71,41.0,53.77,12.58,4.7
290,Durban,0,FR,03/24/2019,71,51.8,43.54,0.58,9.17
291,Srednekolymsk,20,RU,03/24/2019,71,0.93,67.46,153.71,3.49
292,Chicama,75,PE,03/24/2019,83,71.6,-7.84,-79.15,9.17
293,Poltavka,48,RU,03/24/2019,62,11.82,54.36,71.76,4.61
294,Emba,0,CY,03/24/2019,100,53.6,34.81,32.42,13.87
295,Kumluca,0,TR,03/24/2019,71,21.9,36.37,30.29,1.81
296,Omboue,76,GA,03/24/2019,100,82.11,-1.57,9.26,8.52
297,Kahului,75,US,03/24/2019,54,82.4,20.89,-156.47,21.92
298,Kupang,20,ID,03/24/2019,94,77.0,-10.16,123.6,2.24
299,Gigmoto,36,PH,03/24/2019,100,77.88,13.78,124.39,11.21
300,Seoul,90,KR,03/24/2019,69,39.2,37.57,126.98,1.12
301,Okhotsk,24,RU,03/24/2019,75,24.51,59.36,143.24,4.83
302,Monrovia,20,LR,03/24/2019,94,78.8,6.33,-10.8,6.62
303,Candelaria,75,CO,03/24/2019,69,77.0,3.41,-76.35,4.7
304,Tura,0,IN,03/24/2019,79,60.24,25.52,90.21,2.37
305,Grindavik,0,IS,03/24/2019,100,34.0,63.84,-22.43,12.75
306,Asuncion,40,PY,03/24/2019,69,78.8,-25.3,-57.63,5.82
307,Aksha,20,RU,03/24/2019,30,18.3,50.28,113.29,8.41
308,Yeppoon,76,AU,03/24/2019,69,82.4,-23.13,150.74,5.82
309,Mikkeli,0,FI,03/24/2019,79,28.4,61.69,27.27,2.24
310,Emerald,8,AU,03/24/2019,83,81.0,-23.53,148.16,6.93
311,Svetlogorsk,20,RU,03/24/2019,92,24.8,53.14,59.15,4.47
312,Inhambane,20,MZ,03/24/2019,100,72.48,-23.87,35.38,5.95
313,Jasa Tomic,0,RS,03/24/2019,64,46.99,45.45,20.86,3.36
314,Mudgee,90,AU,03/24/2019,100,64.4,-32.6,149.59,6.93
315,Fallon,90,US,03/24/2019,86,37.4,46.84,-105.12,14.99
316,Longyearbyen,40,NO,03/24/2019,72,12.2,78.22,15.63,11.41
317,Jutiquile,40,HN,03/24/2019,51,86.0,14.74,-86.1,2.24
318,Whyalla,48,AU,03/24/2019,67,60.8,-33.04,137.58,5.82
319,Laiyang,0,CN,03/24/2019,59,54.0,36.98,120.7,10.87
320,Charters Towers,20,AU,03/24/2019,84,80.67,-20.07,146.27,8.52
321,Eyl,100,SO,03/24/2019,100,77.97,7.98,49.82,5.73
322,Kaitangata,68,NZ,03/24/2019,79,71.58,-46.28,169.85,3.83
323,Husavik,0,CA,03/24/2019,38,30.0,50.56,-96.99,5.01
324,Honavar,0,IN,03/24/2019,100,74.91,14.28,74.45,3.27
325,Kruisfontein,80,ZA,03/24/2019,91,66.0,-34.0,24.73,12.44
326,Listvyanka,44,RU,03/24/2019,100,28.0,51.86,104.86,4.47
327,Ciamis,64,ID,03/24/2019,96,72.75,-7.33,108.35,1.59
328,Vila Franca do Campo,20,PT,03/24/2019,82,57.2,37.72,-25.43,6.93
329,Seydi,20,NE,03/24/2019,18,79.32,13.34,7.75,12.66
330,Bilibino,8,RU,03/24/2019,62,8.22,68.06,166.44,6.85
331,Barra Patuca,8,HN,03/24/2019,81,81.3,15.8,-84.28,9.75
332,Kangasala,0,FI,03/24/2019,92,28.99,61.46,24.07,4.72
333,Chabahar,0,IR,03/24/2019,99,71.13,25.29,60.65,5.95
334,Aksay,0,RU,03/24/2019,80,39.2,47.27,39.86,11.18
335,Faanui,12,PF,03/24/2019,97,85.8,-16.48,-151.75,13.44
336,Magadan,0,RU,03/24/2019,98,21.09,59.56,150.8,7.63
337,Shumikha,20,RU,03/24/2019,70,22.53,55.23,63.28,9.19
338,Hobyo,68,SO,03/24/2019,89,78.24,5.35,48.53,7.85
339,Bacabal,92,BR,03/24/2019,98,73.11,-4.23,-44.78,4.38
340,Raigarh,0,IN,03/24/2019,67,60.87,21.9,83.39,2.71
341,Ismailia,0,EG,03/24/2019,74,54.57,30.6,32.27,14.56
342,Araouane,92,ML,03/24/2019,30,82.74,18.9,-3.53,3.6
343,Desbiens,5,CA,03/24/2019,37,19.99,48.42,-71.95,3.36
344,Mahibadhoo,88,MV,03/24/2019,100,83.82,3.78,72.97,11.43
345,Sayyan,0,YE,03/24/2019,79,46.11,15.17,44.32,1.48
346,Verkhnevilyuysk,0,RU,03/24/2019,64,3.18,63.45,120.31,4.16
347,Ko Samui,40,TH,03/24/2019,89,84.2,9.54,99.94,6.96
348,Chapais,1,CA,03/24/2019,35,8.6,49.78,-74.86,9.17
349,Kieta,12,PG,03/24/2019,97,82.47,-6.22,155.63,4.72
350,Buala,92,SB,03/24/2019,81,85.8,-8.15,159.59,5.17
351,Dudinka,88,RU,03/24/2019,88,18.57,69.41,86.18,16.58
352,Yanam,0,IN,03/24/2019,88,75.54,16.73,82.22,2.15
353,Gerash,36,IR,03/24/2019,85,50.52,27.67,54.14,3.04
354,Nabire,12,ID,03/24/2019,84,75.72,-3.36,135.5,1.25
355,Shieli,8,KZ,03/24/2019,84,39.45,44.18,66.74,2.71
356,Kozachi Laheri,8,UA,03/24/2019,85,36.3,46.71,32.99,10.87
357,Rock Sound,100,BS,03/24/2019,100,74.1,24.9,-76.2,15.57
358,Rocha,64,UY,03/24/2019,66,62.94,-34.48,-54.34,17.47
359,Mitsamiouli,20,KM,03/24/2019,78,78.8,-11.38,43.28,6.93
360,Suez,0,EG,03/24/2019,71,54.93,29.97,32.54,13.44
361,Cookeville,90,US,03/24/2019,64,66.2,36.16,-85.5,10.29
362,Padang,20,ID,03/24/2019,100,73.4,-0.92,100.36,3.36
363,Westport,92,IE,03/24/2019,79,48.99,53.8,-9.52,8.01
364,Cherskiy,0,RU,03/24/2019,60,1.38,68.75,161.3,5.17
365,Elk Plain,90,US,03/24/2019,62,59.0,47.04,-122.37,3.36
366,Ugoofaaru,0,MV,03/24/2019,100,83.37,5.67,73.0,11.43
367,Santo Nino,75,PH,03/24/2019,73,75.2,15.34,120.63,4.7
368,Alto Longa,92,BR,03/24/2019,97,73.47,-5.25,-42.21,3.71
369,Grand Forks,1,US,03/24/2019,73,28.0,47.91,-97.06,11.41
370,Santa Ana,0,SV,03/24/2019,51,82.4,13.99,-89.56,12.75
371,Deer Lake,40,CA,03/24/2019,68,30.2,49.18,-57.43,13.87
372,Bois-Guillaume,0,FR,03/24/2019,86,44.01,49.47,1.12,6.93
373,Torbay,75,CA,03/24/2019,86,33.01,47.66,-52.73,21.92
374,Nhulunbuy,40,AU,03/24/2019,79,86.0,-12.18,136.78,11.41
375,Heihe,75,RU,03/24/2019,92,12.2,50.24,127.51,4.47
376,Lufilufi,75,WS,03/24/2019,70,86.0,-13.87,-171.6,3.36
377,Yulara,64,AU,03/24/2019,47,77.0,-25.24,130.99,13.87
378,Aguie,8,NE,03/24/2019,18,79.41,13.51,7.78,14.79
379,Hambantota,0,LK,03/24/2019,100,78.15,6.12,81.12,8.19
380,Niono,88,ML,03/24/2019,61,83.01,14.25,-5.99,2.93
381,Denizli,0,TR,03/24/2019,47,37.4,37.77,29.09,9.17
382,Lompoc,1,US,03/24/2019,52,68.0,34.64,-120.46,4.7
383,Orumiyeh,90,IR,03/24/2019,93,42.8,37.55,45.08,6.93
384,Socorro,80,PH,03/24/2019,77,80.01,13.06,121.41,5.01
385,Yazman,64,SY,03/24/2019,89,40.35,36.74,38.46,9.98
386,San Cristobal,75,EC,03/24/2019,87,59.0,-0.39,-78.55,3.36
387,Mareeba,40,AU,03/24/2019,83,84.99,-16.99,145.42,11.41
388,Blagoyevo,88,RU,03/24/2019,85,32.61,63.37,47.92,7.4
389,Davila,20,PH,03/24/2019,78,75.2,18.47,120.58,2.24
390,Olavarria,0,AR,03/24/2019,62,57.45,-36.89,-60.32,13.22
391,Evensk,64,RU,03/24/2019,98,22.8,61.92,159.24,15.23
392,Florianopolis,0,BR,03/24/2019,78,78.01,-27.6,-48.55,6.93
393,Birao,92,CF,03/24/2019,45,86.16,10.3,22.78,2.82
394,Caravelas,80,BR,03/24/2019,100,82.47,-17.73,-39.27,13.67
395,Ushumun,12,RU,03/24/2019,60,21.0,52.78,126.54,4.72
396,Omsukchan,0,RU,03/24/2019,76,7.23,62.53,155.8,10.2
397,Sorland,76,NO,03/24/2019,100,38.19,67.67,12.69,17.25
398,Talas,40,TR,03/24/2019,68,27.0,38.69,35.55,5.39
399,Vila Velha,40,BR,03/24/2019,78,82.4,-3.71,-38.6,3.36
400,Rujewa,64,TZ,03/24/2019,93,62.67,-8.7,34.38,3.15
401,Bambanglipuro,64,ID,03/24/2019,97,74.01,-7.95,110.28,4.05
402,Gombong,64,ID,03/24/2019,96,73.02,-7.19,109.31,2.37
403,Leningradskiy,76,RU,03/24/2019,100,4.08,69.38,178.42,9.64
404,Kalmunai,0,LK,03/24/2019,99,65.91,7.42,81.82,2.48
405,Necochea,68,AR,03/24/2019,77,57.0,-38.55,-58.74,8.99
406,Tongren,0,CN,03/24/2019,90,37.65,27.72,109.18,2.93
407,Kisangani,36,CD,03/24/2019,95,75.81,0.52,25.21,4.27
408,Constantine,0,DZ,03/24/2019,87,46.4,36.36,6.61,2.15
409,Los Llanos de Aridane,92,ES,03/24/2019,59,60.8,28.66,-17.92,6.93
410,Wewak,92,PG,03/24/2019,98,76.17,-3.55,143.63,2.37
411,Bull Savanna,76,JM,03/24/2019,66,76.17,17.89,-77.59,4.27
412,Ntoum,20,GA,03/24/2019,100,73.4,0.39,9.76,4.7
413,Mandalgovi,0,MN,03/24/2019,70,16.23,45.76,106.27,2.93
414,Richards Bay,36,ZA,03/24/2019,85,73.11,-28.77,32.06,9.75
415,Kloulklubed,75,PW,03/24/2019,78,80.6,7.04,134.26,4.7
416,Nizhniy Chir,32,RU,03/24/2019,88,32.88,48.36,43.08,10.42
417,Olsztyn,20,PL,03/24/2019,88,29.28,53.78,20.48,7.52
418,Kathmandu,20,NP,03/24/2019,93,53.6,27.71,85.32,3.71
419,Ifanadiana,92,MG,03/24/2019,97,65.28,-21.3,47.64,2.15
420,Vaitape,56,PF,03/24/2019,97,85.08,-16.52,-151.75,12.44
421,Tilichiki,64,RU,03/24/2019,81,13.98,60.47,166.1,8.41
422,Henties Bay,44,NA,03/24/2019,89,61.0,-22.12,14.28,1.99
423,High Level,40,CA,03/24/2019,55,39.2,58.52,-117.13,4.7
424,Channel-Port aux Basques,12,CA,03/24/2019,92,29.91,47.57,-59.14,28.54
425,Sao Sepe,0,BR,03/24/2019,60,73.4,-30.16,-53.57,2.24
426,Adoni,44,IN,03/24/2019,53,78.78,15.63,77.27,8.19
427,Kaduy,48,RU,03/24/2019,93,29.73,59.2,37.15,9.75
428,Udachnyy,0,RU,03/24/2019,54,-11.68,66.42,112.4,2.37
429,Plettenberg Bay,88,ZA,03/24/2019,97,67.26,-34.05,23.37,11.77
430,Mecca,48,SA,03/24/2019,95,70.5,21.43,39.83,2.82
431,Timbuktu,80,ML,03/24/2019,27,81.57,16.77,-3.01,4.72
432,Mago,56,RU,03/24/2019,64,19.92,53.27,140.15,2.71
433,Ostrovnoy,56,RU,03/24/2019,86,27.93,68.05,39.51,12.66
434,Guanare,0,VE,03/24/2019,54,87.24,9.04,-69.74,3.71
435,Bubaque,80,GW,03/24/2019,100,77.07,11.28,-15.83,14.67
436,Goderich,68,CA,03/24/2019,84,36.0,43.74,-81.71,1.01
437,Ocoee,1,US,03/24/2019,53,77.0,28.57,-81.54,12.75
438,Fukue,75,JP,03/24/2019,100,55.0,35.03,136.69,3.36
439,Stelle,90,US,03/24/2019,100,51.01,40.95,-88.15,5.39
440,Noyabrsk,80,RU,03/24/2019,92,20.73,63.2,75.45,10.09
441,Bibiani,36,GH,03/24/2019,84,75.09,6.45,-2.31,6.06
442,Katobu,0,ID,03/24/2019,93,83.64,-4.94,122.53,4.94
443,Severo-Kurilsk,48,RU,03/24/2019,100,27.48,50.68,156.12,15.57
444,Pleshanovo,12,RU,03/24/2019,55,35.6,57.46,28.17,8.95
445,Mar del Plata,0,AR,03/24/2019,90,54.03,-46.43,-67.52,5.73
446,Gorele,75,TR,03/24/2019,69,41.0,41.03,39.0,6.93
447,Scarborough,0,GB,03/24/2019,65,44.6,54.28,-0.41,12.75
448,Kefamenanu,12,ID,03/24/2019,84,76.98,-9.45,124.48,2.59
449,Mamburao,0,PH,03/24/2019,100,76.8,13.22,120.6,6.29
450,Cururupu,92,BR,03/24/2019,92,77.79,-1.82,-44.87,4.27
451,Lasa,0,CY,03/24/2019,100,53.6,34.92,32.53,13.87
452,Natal,20,BR,03/24/2019,78,82.4,-5.81,-35.21,3.36
453,Jijiga,0,ET,03/24/2019,53,63.03,9.35,42.8,8.19
454,Alugan,80,PH,03/24/2019,91,77.97,12.22,125.48,9.75
455,Khani,75,GE,03/24/2019,93,39.2,41.96,42.96,3.36
456,Yaan,80,NG,03/24/2019,91,75.63,7.38,8.57,11.54
457,Kondinskoye,88,RU,03/24/2019,95,26.85,59.65,67.41,7.18
458,Pacific Grove,1,US,03/24/2019,44,66.99,36.62,-121.92,11.41
459,Kolosovka,12,RU,03/24/2019,74,20.1,56.47,73.61,3.04
460,Mahajanga,20,MG,03/24/2019,83,78.8,-15.72,46.32,2.24
461,Karatsu,75,JP,03/24/2019,81,48.99,33.45,129.97,3.36
462,Bhadasar,24,IN,03/24/2019,71,61.68,28.3,74.31,5.61
463,Beloha,8,MG,03/24/2019,81,74.91,-25.17,45.06,13.89
464,Turukhansk,80,RU,03/24/2019,86,23.43,65.8,87.96,9.98
465,Kalabo,12,ZM,03/24/2019,53,74.55,-15.0,22.67,7.07
466,Marsa Matruh,0,EG,03/24/2019,58,59.0,31.35,27.25,16.11
467,Laohekou,12,CN,03/24/2019,80,44.4,32.39,111.67,1.7
468,Mount Gambier,75,AU,03/24/2019,76,48.2,-37.83,140.78,26.4
469,Peniche,0,PT,03/24/2019,76,62.01,39.36,-9.38,3.36
470,Pokhara,36,NP,03/24/2019,64,53.4,28.21,83.99,4.27
471,Darovskoy,88,RU,03/24/2019,91,28.11,58.77,47.96,8.97
472,Williamsport,90,US,03/24/2019,29,51.8,41.25,-77.0,6.51
473,Havre,90,US,03/24/2019,93,35.6,48.55,-109.68,14.99
474,Tezpur,8,IN,03/24/2019,84,61.68,26.62,92.79,3.6
475,Oksfjord,90,NO,03/24/2019,54,30.2,70.24,22.35,28.86
476,Angoche,56,MZ,03/24/2019,100,80.58,-16.23,39.91,12.1
477,Shanghai,90,CN,03/24/2019,93,55.0,31.23,121.49,4.47
478,San Carlos de Bariloche,0,AR,03/24/2019,25,62.6,-41.13,-71.31,4.7
479,Kunming,0,CN,03/24/2019,70,54.0,25.04,102.71,5.06
480,Burnie,92,AU,03/24/2019,70,55.99,-41.05,145.91,14.0
481,Khajuraho,0,IN,03/24/2019,53,61.77,24.85,79.93,3.38
482,Atasu,88,KZ,03/24/2019,87,34.95,48.68,71.64,2.93
483,Ariquemes,24,BR,03/24/2019,91,77.7,-9.91,-63.03,1.81
484,Kothapet,0,IN,03/24/2019,78,75.2,17.37,78.55,5.82
485,Galesong,20,ID,03/24/2019,106,75.2,-5.32,119.37,1.12
486,Vakhtan,48,RU,03/24/2019,88,28.83,57.97,46.69,7.18
487,Jalpan,0,MX,03/24/2019,27,73.56,19.0,-100.36,3.15
488,Jalu,0,LY,03/24/2019,49,59.61,29.03,21.55,12.44
489,Sijunjung,24,ID,03/24/2019,94,68.61,-0.69,100.95,2.71
490,Kampene,32,CD,03/24/2019,96,69.87,-3.59,26.67,1.36
491,Champerico,5,MX,03/24/2019,43,87.8,16.38,-93.6,23.04
492,Mama,5,MX,03/24/2019,42,82.4,20.48,-89.36,20.8
493,Guarapari,40,BR,03/24/2019,69,81.0,-20.67,-40.5,9.17
494,Palu,32,ID,03/24/2019,81,71.04,-0.9,119.87,1.92
495,Port Macquarie,32,AU,03/24/2019,88,84.99,-31.43,152.91,3.36
496,North Platte,90,US,03/24/2019,54,53.6,41.12,-100.77,4.7
497,Rondonopolis,12,BR,03/24/2019,48,81.84,-16.46,-54.64,4.61
498,Tyrma,76,RU,03/24/2019,79,19.74,50.04,132.17,3.38
499,Tatvan,76,TR,03/24/2019,98,31.44,38.5,42.28,3.04
500,Lavrentiya,92,RU,03/24/2019,96,32.61,65.58,-170.99,18.81
501,Columbus,0,US,03/24/2019,27,75.2,32.46,-84.99,8.05
502,Menongue,12,AO,03/24/2019,34,70.23,-14.66,17.68,5.28
503,Saiha,0,IN,03/24/2019,80,60.42,22.49,92.98,2.48
504,Najran,0,SA,03/24/2019,19,80.6,17.54,44.22,6.51
505,Lakselv,68,NO,03/24/2019,79,30.2,70.05,24.96,27.51
506,Puerto Carreno,8,CO,03/24/2019,30,98.6,6.19,-67.49,2.15
507,Dicabisagan,0,PH,03/24/2019,91,77.7,17.08,122.42,2.04
508,Asosa,92,ET,03/24/2019,57,74.19,10.07,34.53,2.93
509,Novyy Urgal,80,RU,03/24/2019,64,15.78,51.07,132.56,3.71
510,Saint-Leu,0,RE,03/24/2019,69,82.4,-21.15,55.28,9.17
511,Molteno,0,ZA,03/24/2019,90,49.71,-31.4,26.36,2.59
512,Hirara,75,JP,03/24/2019,88,69.8,24.8,125.28,11.41
513,Moose Factory,40,CA,03/24/2019,43,14.0,51.26,-80.61,18.34
514,Fortuna,0,ES,03/24/2019,71,54.0,38.18,-1.13,1.12
515,Hualmay,32,PE,03/24/2019,80,69.51,-11.1,-77.61,4.38
516,Rongcheng,0,CN,03/24/2019,56,51.78,37.16,122.42,15.68
517,Shingu,75,JP,03/24/2019,100,50.0,33.72,135.99,6.93
518,Margate,20,AU,03/24/2019,95,59.0,-43.03,147.26,25.28
519,Deputatskiy,12,RU,03/24/2019,64,-9.61,69.3,139.9,5.95
520,Qom,80,IR,03/24/2019,74,51.06,34.64,50.88,6.29
521,Joplin,20,US,03/24/2019,63,66.99,37.08,-94.51,6.93
522,Broome,8,GB,03/24/2019,75,48.0,52.47,1.45,14.99
523,Bassar,32,TG,03/24/2019,58,80.58,9.26,0.78,9.19
524,Cuiluan,76,CN,03/24/2019,44,29.64,47.72,128.65,4.27
525,Loandjili,20,CG,03/24/2019,100,73.4,-4.77,11.87,4.7
526,Quatre Cocos,75,MU,03/24/2019,78,82.4,-20.21,57.76,11.41
527,Pasni,0,PK,03/24/2019,91,72.39,25.26,63.48,5.06
528,Beyneu,36,KZ,03/24/2019,76,46.65,45.32,55.19,8.97
529,Sola,0,FI,03/24/2019,89,32.0,62.78,29.36,6.93
530,Port Hedland,90,AU,03/24/2019,94,77.0,-20.31,118.58,24.16
531,North Bend,1,US,03/24/2019,66,60.01,43.41,-124.22,9.17
532,Muros,0,ES,03/24/2019,53,59.0,42.77,-9.06,4.7
533,Znamenskoye,32,RU,03/24/2019,61,9.93,57.13,73.82,2.93
534,Wamba,12,CD,03/24/2019,95,71.22,2.14,27.99,2.15
535,Lucelia,0,BR,03/24/2019,50,78.8,-21.72,-51.02,3.36
536,Roswell,1,US,03/24/2019,11,77.0,33.39,-104.52,6.93
537,Sulangan,0,PH,03/24/2019,100,80.67,11.14,123.72,17.69
538,Horta,0,ES,03/24/2019,70,63.0,41.43,2.16,4.7
539,Ust-Nera,48,RU,03/24/2019,73,0.48,64.57,143.24,2.71
540,Donskoye,0,RU,03/24/2019,80,32.0,45.45,41.98,15.66
